"Date","Price","Open","High","Low","Vol.","Change %"
"15-05-2023","165,803","165,364","166,409","164,999","","0.36%"
"12-05-2023","165,214","165,549","166,181","164,454","","-0.12%"
"11-05-2023","165,407","166,304","167,541","165,230","","-0.51%"
"10-05-2023","166,256","167,086","167,791","165,648","","-0.46%"
"09-05-2023","167,017","165,434","167,241","165,202","","0.98%"
"08-05-2023","165,395","164,764","166,003","164,613","","0.32%"
"05-05-2023","164,866","167,595","167,720","163,438","","-1.59%"
"04-05-2023","167,529","166,689","169,554","165,952","","0.60%"
"03-05-2023","166,523","164,828","166,887","164,311","","1.05%"
"02-05-2023","164,797","162,205","165,147","161,954","","1.63%"
"01-05-2023","162,158","162,783","163,934","161,609","","-0.26%"
"28-04-2023","162,574","162,348","163,189","161,720","","0.12%"
"27-04-2023","162,375","162,556","163,784","161,495","","-0.20%"
"26-04-2023","162,693","163,699","164,262","162,175","","-0.53%"
"25-04-2023","163,556","163,077","164,384","161,969","","0.31%"
"24-04-2023","163,050","162,579","163,180","161,701","","0.24%"
"21-04-2023","162,657","164,596","164,752","161,823","","-1.08%"
"20-04-2023","164,436","164,070","165,334","163,692","","0.24%"
"19-04-2023","164,038","164,736","164,894","161,961","","-0.34%"
"18-04-2023","164,600","163,558","165,073","163,379","","0.75%"
"17-04-2023","163,373","163,841","165,046","162,560","","-0.35%"
"14-04-2023","163,942","166,612","167,277","163,088","","-1.58%"
"13-04-2023","166,573","165,194","167,338","164,940","","0.91%"
"12-04-2023","165,070","164,370","166,285","164,120","","0.34%"
"11-04-2023","164,519","163,197","164,885","163,045","","0.72%"
"10-04-2023","163,348","164,449","164,685","162,580","","-0.63%"
"07-04-2023","164,376","164,330","164,571","164,236","","0.06%"
"06-04-2023","164,281","165,704","165,704","163,933","","-0.82%"
"05-04-2023","165,637","165,904","166,625","164,689","","-0.12%"
"04-04-2023","165,829","163,213","166,434","162,448","","1.67%"
"03-04-2023","163,097","161,974","163,751","160,702","","0.83%"
"31-03-2023","161,748","162,599","163,331","161,633","","-0.49%"
"30-03-2023","162,539","161,410","162,949","160,878","","0.72%"
"29-03-2023","161,377","162,149","162,308","161,179","","-0.47%"
"28-03-2023","162,133","160,998","162,381","160,203","","0.77%"
"27-03-2023","160,899","162,839","163,022","159,975","","-1.19%"
"24-03-2023","162,839","164,011","165,244","162,646","","-0.60%"
"23-03-2023","163,823","162,636","164,487","161,772","","0.86%"
"22-03-2023","162,429","160,453","163,588","159,962","","1.27%"
"21-03-2023","160,393","163,285","163,965","160,067","","-1.70%"
"20-03-2023","163,171","164,056","166,191","162,302","","-0.53%"
"17-03-2023","164,039","158,651","164,236","158,471","","3.42%"
"16-03-2023","158,613","159,048","160,206","158,055","","-0.16%"
"15-03-2023","158,867","156,508","160,630","155,610","","1.46%"
"14-03-2023","156,588","157,405","157,696","156,138","","-0.50%"
"13-03-2023","157,371","153,193","157,515","153,193","","2.79%"
"10-03-2023","153,103","150,308","153,297","149,981","","1.95%"
"09-03-2023","150,175","148,659","150,542","148,372","","1.03%"
