"Agre emen t Num
ber",Disb urse ment Date,"Loa n Am ou
nt",Numb er of Orna ments,"Gross Weight of Ornamen
ts( gm)","Au ctio n Dat
e",Auction Place,Branch Address,
"P07I GOL6 0050
25","19-
Nov- 22","129
71",2,4.5,"15-
Jan
-24",Amaravati GL,,
"P478 GOL5 8247
16","28-
Oct- 22","211
99",2,7.42,"15-
Jan
-24","Amravati Old Cotton Market Road
GL","Ground Floor, Vimko Tower Bus stand road Amravati, Maharashtra- 444601",
"P478 GOL5 8679
26","03-
Nov- 22","312
49",1,10.75,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
"P478 GOL5 8835
54","05-
Nov- 22","202
49",1,7.3,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
"P478 GOL5 8849
01","05-
Nov- 22","152
49",1,5,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
"P478 GOL5 9150
69","09-
Nov- 22","455
99",5,15.46,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
"P478 GOL5 9152
35","09-
Nov- 22","188
99",1,6.4,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
"P478 GOL5 9151
49","09-
Nov- 22","351
99",2,12.95,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
"P478 GOL5 9547
12","14-
Nov- 22","102
49",1,3.25,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
"P478 GOL5 9765
72","16-
Nov- 22","162
49",1,5.25,"15-
Jan
-24","Amravati Old Cotton Market Road
GL",,
P478 GOL6,"21-
Nov-
22","619
9",1,2.35,"15-
Jan
-24",Amravati Old Cotton,,
"0188
98",,,,,,"Market Road
GL",,
"P4A9 GOL5 8555
91","01-
Nov- 22","343
65",1,10.05,"15-
Jan
-24",AMRELI,"1st Floor, Hall -2, Dhara Complex, Nr, Nagnath Mahadev Mandir, Nagnath Circle, Amreli ? 365601",
"P4A9 GOL5 9147
51","09-
Nov- 22","433
32",1,12.6,"15-
Jan
-24",AMRELI,,
"P4A9 GOL5 9590
07","14-
Nov- 22","298
99",1,8.7,"15-
Jan
-24",AMRELI,,
"P4A9 GOL5 9792
58","16-
Nov- 22","604
74",1,20.32,"15-
Jan
-24",AMRELI,,
"P4A9 GOL5 9839
84","17-
Nov- 22","145
914",1,46.18,"15-
Jan
-24",AMRELI,,
"P4A9 GOL6 0012
69","19-
Nov- 22","201
49",3,6.138,"15-
Jan
-24",AMRELI,,
"PF89 GOL5 8995
16","07-
Nov- 22","514
9",1,2.25,"15-
Jan
-24",Amritsar GL,"Bajaj Finance Limited, Ground Floor, stand alone Building opp may fair appartment,main road,khandwala chowk,Amritsar punjab",
"PF89 GOL6 0021
42","19-
Nov- 22","114
66",1,5.07,"15-
Jan
-24",Amritsar GL,,
"P570 GOL5 8781
10","04-
Nov- 22","531
49",1,15.5,"16-
Jan
-24",Anakapalle Bhargavi Plaza GL,"#14-3-33, 1st floor, Bhargavi Plaza, Opp. George Club, Main Road, Anakapalle ? 531 001",
"P570 GOL5 9052
80","08-
Nov- 22","490
43",4,14.65,"16-
Jan
-24",Anakapalle Bhargavi Plaza GL,,
"P570 GOL5 9055
14","08-
Nov- 22","550
99",1,16,"16-
Jan
-24",Anakapalle Bhargavi Plaza GL,,
"P431 GOL5 8248
71","28-
Oct- 22","199
549",5,59.92,"15-
Jan
-24",Anand A V Road I,"Shilp Building 1st Floor, above canara bank , Near Bhaikaka Statue A.V.Road , Anand , 388001",
"P431 GOL5 8571
28","01-
Nov- 22","281
49",3,8.54,"15-
Jan
-24",Anand A V Road I,,
"P431 GOL5 8837
07","05-
Nov- 22","103
963",1,36.28,"15-
Jan
-24",Anand A V Road I,,
"P567 GOL5 9053
06","08-
Nov- 22","176
99",1,5.26,"16-
Jan
-24",ANANTPUR,"D No 12-4-66, Plot No 101, 1st Floor, S V Towers, 1st Floor , 80 Feet Road, Vidyut Nagar, Anantapur, 515004",
P75Q GOL5,"29-
Oct-
22","810
00",1,25.69,"15-
Jan
-24",Anjar GL,"Ground Floor,Varshamedi,Near Hotel Manav,Anjar Gujarat-370110",
"8321
28",,,,,,,,
"P75Q GOL5 8307
72","29-
Oct- 22","330
00",7,13.95,"15-
Jan
-24",Anjar GL,,
"P75Q GOL5 9074
26","08-
Nov- 22","714
9",1,2.17,"15-
Jan
-24",Anjar GL,,
"P75Q GOL5 9170
00","09-
Nov- 22","140
00",2,5.94,"15-
Jan
-24",Anjar GL,,
"P75Q GOL5 9440
24","12-
Nov- 22","301
49",1,12.962,"15-
Jan
-24",Anjar GL,,
"P75Q GOL6 0162
36","21-
Nov- 22","501
49",1,24,"15-
Jan
-24",Anjar GL,,
"P75Q GOL6 0142
10","21-
Nov- 22","186
000",6,61.55,"15-
Jan
-24",Anjar GL,,
"P4L2 GOL5 9427
79","12-
Nov- 22","146
49",1,4.35,"15-
Jan
-24",Ankleshwar Roshni Plaza GL,"1st Floor Office No- FF 1-2-3 Roshni Plaza, Near Shree Ganesh Agency Building,Old Station Road,Ankleshwar-393002",
"P4L2 GOL5 9695
13","15-
Nov- 22","415
41",1,12.2,"15-
Jan
-24",Ankleshwar Roshni Plaza GL,,
"P4L2 GOL5 9662
93","15-
Nov- 22","201
49",1,8.2,"15-
Jan
-24",Ankleshwar Roshni Plaza GL,,
"P4L2 GOL5 9764
27","16-
Nov- 22","126
00",1,5.1,"15-
Jan
-24",Ankleshwar Roshni Plaza GL,,
"P4L2 GOL5 9957
93","18-
Nov- 22","166
49",1,4.9,"15-
Jan
-24",Ankleshwar Roshni Plaza GL,,
"P4L2 GOL6 0034
86","19-
Nov- 22","208
765",7,61.02,"15-
Jan
-24",Ankleshwar Roshni Plaza GL,,
"PX20 GOL5 8145
86","27-
Oct- 22","517
99",3,16.25,"15-
Jan
-24",Anupgarh station Road GL,"Bajaj Finance Limited, ,Ground Floor, Shop No: 105, opposite state Bank of India, station Road, Anupgarh, Rajasthan -335701",
"PX20 GOL5 8470
72","31-
Oct- 22","116
705",7,39.76,"15-
Jan
-24",Anupgarh station Road GL,,
"PB56 GOL5 8077
93","26-
Oct- 22","391
49",1,11.6,"16-
Jan
-24",Armoor Gl,"Bajaj Finance Limited ,1st Floor 3-2-57, Dhondi Complex, Ambedkar Chowrasta, Armoor District Nizamabad  Telangana? 503224",
PB56 GOL5,"31-
Oct-
22","337
49",1,9.9,"16-
Jan
-24",Armoor Gl,,
"8443
97",,,,,,,,
"PB56 GOL5 9087
19","08-
Nov- 22","585
49",1,17.7,"16-
Jan
-24",Armoor Gl,,
"PB56 GOL5 9147
79","09-
Nov- 22","600
93",1,19.72,"16-
Jan
-24",Armoor Gl,,
"PB56 GOL5 9250
17","10-
Nov- 22","191
49",1,7.2,"16-
Jan
-24",Armoor Gl,,
"PB56 GOL5 9772
12","16-
Nov- 22","601
49",1,18.7,"16-
Jan
-24",Armoor Gl,,
"PB56 GOL5 9842
57","17-
Nov- 22","166
49",1,4.9,"16-
Jan
-24",Armoor Gl,,
"P20I GOL5 8069
70","26-
Oct- 22","341
49",1,10.46,"15-
Jan
-24",Assandh Gl,"Ground floor, Near Axis bank, Karnal road Asandh-132039",
"P20I GOL5 8498
32","31-
Oct- 22","701
49",1,21.5,"15-
Jan
-24",Assandh Gl,,
"P20I GOL5 8670
46","03-
Nov- 22","964
9",1,3.1,"15-
Jan
-24",Assandh Gl,,
"P20I GOL5 8964
56","07-
Nov- 22","101
49",1,3.45,"15-
Jan
-24",Assandh Gl,,
"P20I GOL5 9542
88","14-
Nov- 22","904
9",1,2.9,"15-
Jan
-24",Assandh Gl,,
"P20I GOL5 9766
52","16-
Nov- 22","265
49",1,8.05,"15-
Jan
-24",Assandh Gl,,
"P20I GOL5 9849
75","17-
Nov- 22","514
9",1,2.87,"15-
Jan
-24",Assandh Gl,,
"P20I GOL5 9859
70","17-
Nov- 22","320
80",1,9.8,"15-
Jan
-24",Assandh Gl,,
"P20I GOL6 0188
12","21-
Nov- 22","310
149",12,93.48,"15-
Jan
-24",Assandh Gl,,
"PZ12 GOL5 9551
61","14-
Nov- 22","187
49",3,5.7,"15-
Jan
-24",ATHAGAD BIRAKISHORE PUR GL,"1st floor, Plot No-324, Opposite of Gupta Distributor, Birakishorepur, Athagarh, Cuttack-754029, Odisha",
PZ12 GOL5,"18-
Nov-
22","148
649",6,44.2,"15-
Jan
-24","ATHAGAD BIRAKISHORE
PUR GL",,
"9951
47",,,,,,,,
"PZ12 GOL6 0174
77","21-
Nov- 22","471
49",6,14.2,"15-
Jan
-24",ATHAGAD BIRAKISHORE PUR GL,,
"P417 GOL5 9745
45","16-
Nov- 22","422
49",1,12.65,"15-
Jan
-24",Aurangabad Bansilala Nagar GL,"Shop no.3 & 4, Upper Ground Floor, B wing, Raja Bansilal Market, relway station Road, Bansilala Nagar, Aurangabad 431001",
"PB50 GOL5 8081
09","26-
Oct- 22","791
982",12,249.3,"15-
Jan
-24",Aurangabad Gl,"Bajaj Finance Limited Motiwala Trade Center, Samarth Nagar , Nirala Bajar, Aurangabad",
"PB50 GOL5 9067
53","08-
Nov- 22","305
99",1,10.2,"15-
Jan
-24",Aurangabad Gl,,
"PB50 GOL5 9172
19","09-
Nov- 22","200
349",1,63.1,"15-
Jan
-24",Aurangabad Gl,,
"PB50 GOL5 9591
42","14-
Nov- 22","134
680",1,38.94,"15-
Jan
-24",Aurangabad Gl,,
"PB50 GOL5 9569
82","14-
Nov- 22","262
49",1,7.9,"15-
Jan
-24",Aurangabad Gl,,
